medal_type,medal_code,name,country,country_code,nationality,discipline,event,birth_date,code
Silver Medal,2,GRUCHALLA-WESIERSKI Kasia,Canada,CAN,Canada,Rowing,Women's Eight,1991-03-31,1967511
Silver Medal,2,WASTENEYS Avalon,Canada,CAN,Canada,Rowing,Women's Eight,1997-08-31,1967530
Silver Medal,2,PAYNE Sydney,Canada,CAN,Canada,Rowing,Women's Eight,1997-09-16,1967517
Silver Medal,2,WALKER Kristina,Canada,CAN,Canada,Rowing,Women's Eight,1996-05-09,1967528
Silver Medal,2,DENT Abby,Canada,CAN,Canada,Rowing,Women's Eight,2002-03-04,1967508
Silver Medal,2,KIT Kristen,Canada,CAN,Canada,Rowing,Women's Eight,1988-08-18,1967514
Bronze Medal,3,LONG Heidi,Great Britain,GBR,Great Britain,Rowing,Women's Eight,1996-11-29,1901079
Bronze Medal,3,McKELLAR Rowan,Great Britain,GBR,Great Britain,Rowing,Women's Eight,1994-05-24,1901080
Bronze Medal,3,DUNFORD Holly,Great Britain,GBR,Great Britain,Rowing,Women's Eight,1999-10-14,1901059
Bronze Medal,3,FORD Emily,Great Britain,GBR,Great Britain,Rowing,Women's Eight,1994-11-08,1901065
Bronze Medal,3,IRWIN Lauren,Great Britain,GBR,Great Britain,Rowing,Women's Eight,1998-08-20,1901077
Bronze Medal,3,STEWART Eve,Great Britain,GBR,Great Britain,Rowing,Women's Eight,1998-01-13,1901094
Bronze Medal,3,TAYLOR Harriet,Great Britain,GBR,Great Britain,Rowing,Women's Eight,1994-02-14,1901096
Bronze Medal,3,CAMPBELL-ORDE Annie,Great Britain,GBR,Great Britain,Rowing,Women's Eight,1995-10-05,1901044
Bronze Medal,3,FIELDMAN Henry,Great Britain,GBR,Great Britain,Rowing,Women's Eight,1988-11-25,1901063
Gold Medal,1,SMITH Regan,United States,USA,United States,Swimming,Mixed 4 x 100m Medley Relay,2002-02-09,1935984
Gold Medal,1,SWANSON Charlie,United States,USA,United States,Swimming,Mixed 4 x 100m Medley Relay,1998-02-20,1935992
Gold Medal,1,DRESSEL Caeleb,United States,USA,United States,Swimming,Mixed 4 x 100m Medley Relay,1996-08-16,1935896
Gold Medal,1,WEITZEIL Abbey,United States,USA,United States,Swimming,Mixed 4 x 100m Medley Relay,1996-12-03,1935860
Gold Medal,1,FINK Nic,United States,USA,United States,Swimming,Mixed 4 x 100m Medley Relay,1993-07-03,1935901
Gold Medal,1,HUSKE Torri,United States,USA,United States,Swimming,Mixed 4 x 100m Medley Relay,2002-12-07,1935923
Gold Medal,1,MURPHY Ryan,United States,USA,United States,Swimming,Mixed 4 x 100m Medley Relay,1995-07-02,1935957
Gold Medal,1,WALSH Gretchen,United States,USA,United States,Swimming,Mixed 4 x 100m Medley Relay,2003-01-29,1935998
Silver Medal,2,XU Jiayu,China,CHN,China,Swimming,Mixed 4 x 100m Medley Relay,1995-08-19,1945132
Silver Medal,2,TANG Qianting,China,CHN,China,Swimming,Mixed 4 x 100m Medley Relay,2004-03-14,1945200
Silver Medal,2,ZHANG Yufei,China,CHN,China,Swimming,Mixed 4 x 100m Medley Relay,1998-04-19,1945125
Silver Medal,2,PAN Zhanle,China,CHN,China,Swimming,Mixed 4 x 100m Medley Relay,2004-08-04,1945148
Silver Medal,2,QIN Haiyang,China,CHN,China,Swimming,Mixed 4 x 100m Medley Relay,1999-05-17,1945128
Silver Medal,2,YANG Junxuan,China,CHN,China,Swimming,Mixed 4 x 100m Medley Relay,2002-01-26,1945159
Bronze Medal,3,ANDERSON Iona,Australia,AUS,Australia,Swimming,Mixed 4 x 100m Medley Relay,2005-10-03,1946183
Bronze Medal,3,STUBBLETY-COOK Zac,Australia,AUS,Australia,Swimming,Mixed 4 x 100m Medley Relay,1999-01-04,1946185
Bronze Medal,3,McKEON Emma,Australia,AUS,Australia,Swimming,Mixed 4 x 100m Medley Relay,1994-05-24,1946177
Bronze Medal,3,CHALMERS Kyle,Australia,AUS,Australia,Swimming,Mixed 4 x 100m Medley Relay,1998-06-25,1946200
Bronze Medal,3,McKEOWN Kaylee,Australia,AUS,Australia,Swimming,Mixed 4 x 100m Medley Relay,2001-07-12,1946198
Bronze Medal,3,O'CALLAGHAN Mollie,Australia,AUS,Australia,Swimming,Mixed 4 x 100m Medley Relay,2004-04-02,1946218
Bronze Medal,3,TEMPLE Matthew,Australia,AUS,Australia,Swimming,Mixed 4 x 100m Medley Relay,1999-06-20,1946209
Bronze Medal,3,YONG Joshua,Australia,AUS,Australia,Swimming,Mixed 4 x 100m Medley Relay,2001-07-24,1946195
Gold Medal,1,EBDEN Matthew,Australia,AUS,Australia,Tennis,Men's Doubles,1987-11-26,1967767
Gold Medal,1,PEERS John,Australia,AUS,Australia,Tennis,Men's Doubles,1988-07-25,1967762
Silver Medal,2,KRAJICEK Austin,United States,USA,United States,Tennis,Men's Doubles,1990-06-16,1930790
Silver Medal,2,RAM Rajeev,United States,USA,United States,Tennis,Men's Doubles,1984-03-18,1930804
Bronze Medal,3,FRITZ Taylor,United States,USA,United States,Tennis,Men's Doubles,1997-10-28,1930782
Bronze Medal,3,PAUL Tommy,United States,USA,United States,Tennis,Men's Doubles,1997-05-17,1930801
Gold Medal,1,LEE Yang,Chinese Taipei,TPE,Chinese Taipei,Badminton,Men's Doubles,1995-08-12,1570107
Gold Medal,1,WANG Chi-Lin,Chinese Taipei,TPE,Chinese Taipei,Badminton,Men's Doubles,1995-01-18,1570105
Silver Medal,2,LIANG Wei Keng,China,CHN,China,Badminton,Men's Doubles,2000-11-30,1913424
Silver Medal,2,WANG Chang,China,CHN,China,Badminton,Men's Doubles,2001-05-07,1913429
Bronze Medal,3,CHIA Aaron,Malaysia,MAS,Malaysia,Badminton,Men's Doubles,1997-02-24,1566564
Bronze Medal,3,SOH Wooi Yik,Malaysia,MAS,Malaysia,Badminton,Men's Doubles,1998-02-17,1569961
Gold Medal,1,MATSUYAMA Kyosuke,Japan,JPN,Japan,Fencing,Men's Foil Team,1996-12-19,1896550
Gold Medal,1,IIMURA Kazuki,Japan,JPN,Japan,Fencing,Men's Foil Team,2003-12-27,1896532
Gold Medal,1,SHIKINE Takahiro,Japan,JPN,Japan,Fencing,Men's Foil Team,1997-12-07,1896553
Gold Medal,1,NAGANO Yudai,Japan,JPN,Japan,Fencing,Men's Foil Team,1998-10-15,1896551
Silver Medal,2,BIANCHI Guillaume,Italy,ITA,Italy,Fencing,Men's Foil Team,1997-07-30,1924291
Silver Medal,2,MACCHI Filippo,Italy,ITA,Italy,Fencing,Men's Foil Team,2001-09-19,1924289
Silver Medal,2,MARINI Tommaso,Italy,ITA,Italy,Fencing,Men's Foil Team,2000-04-17,1924287
Silver Medal,2,FOCONI Alessio,Italy,ITA,Italy,Fencing,Men's Foil Team,1989-11-22,1924290
Bronze Medal,3,LEFORT Enzo,France,FRA,France,Fencing,Men's Foil Team,1991-09-29,1916213
Bronze Medal,3,PAUTY Maxime,France,FRA,France,Fencing,Men's Foil Team,1993-06-20,1916215
Bronze Medal,3,MERTINE Julien,France,FRA,France,Fencing,Men's Foil Team,1988-06-25,1916216
Bronze Medal,3,CHASTANET Maximilien,France,FRA,France,Fencing,Men's Foil Team,1996-03-15,1916217
Gold Medal,1,XU Jiayu,China,CHN,China,Swimming,Men's 4 x 100m Medley Relay,1995-08-19,1945132
Gold Medal,1,QIN Haiyang,China,CHN,China,Swimming,Men's 4 x 100m Medley Relay,1999-05-17,1945128
Gold Medal,1,WANG Changhao,China,CHN,China,Swimming,Men's 4 x 100m Medley Relay,2002-08-01,1945149
Gold Medal,1,PAN Zhanle,China,CHN,China,Swimming,Men's 4 x 100m Medley Relay,2004-08-04,1945148
Gold Medal,1,SUN Jiajun,China,CHN,China,Swimming,Men's 4 x 100m Medley Relay,2000-08-01,1945127
Silver Medal,2,ARMSTRONG Hunter,United States,USA,United States,Swimming,Men's 4 x 100m Medley Relay,2001-01-24,1935871
Silver Medal,2,SWANSON Charlie,United States,USA,United States,Swimming,Men's 4 x 100m Medley Relay,1998-02-20,1935992
Silver Medal,2,HEILMAN Thomas,United States,USA,United States,Swimming,Men's 4 x 100m Medley Relay,2007-02-07,1935915
Silver Medal,2,ALEXY Jack,United States,USA,United States,Swimming,Men's 4 x 100m Medley Relay,2003-01-19,1935869
Silver Medal,2,DRESSEL Caeleb,United States,USA,United States,Swimming,Men's 4 x 100m Medley Relay,1996-08-16,1935896
Silver Medal,2,FINK Nic,United States,USA,United States,Swimming,Men's 4 x 100m Medley Relay,1993-07-03,1935901
Silver Medal,2,MURPHY Ryan,United States,USA,United States,Swimming,Men's 4 x 100m Medley Relay,1995-07-02,1935957
Bronze Medal,3,NDOYE-BROUARD Yohann,France,FRA,France,Swimming,Men's 4 x 100m Medley Relay,2000-11-29,1909299
Bronze Medal,3,MARCHAND Leon,France,FRA,France,Swimming,Men's 4 x 100m Medley Relay,2002-05-17,1909294
Bronze Medal,3,SECCHI Clement,France,FRA,France,Swimming,Men's 4 x 100m Medley Relay,2000-05-04,1909307
Bronze Medal,3,FENTE--DAMERS Rafael,France,FRA,France,Swimming,Men's 4 x 100m Medley Relay,2006-10-17,1909278
Bronze Medal,3,GROUSSET Maxime,France,FRA,France,Swimming,Men's 4 x 100m Medley Relay,1999-04-24,1909284
Bronze Medal,3,MANAUDOU Florent,France,FRA,France,Swimming,Men's 4 x 100m Medley Relay,1990-11-12,1909292
Gold Medal,1,BERKOFF Katharine,United States,USA,United States,Swimming,Women's 4 x 100m Medley Relay,2001-01-28,1935873
Gold Medal,1,WEBER Emma,United States,USA,United States,Swimming,Women's 4 x 100m Medley Relay,2004-01-13,1935999
Gold Medal,1,SHACKELL Alex,United States,USA,United States,Swimming,Women's 4 x 100m Medley Relay,2006-11-13,1935979
Gold Medal,1,DOUGLASS Kate,United States,USA,United States,Swimming,Women's 4 x 100m Medley Relay,2001-11-17,1935895
Gold Medal,1,HUSKE Torri,United States,USA,United States,Swimming,Women's 4 x 100m Medley Relay,2002-12-07,1935923
Gold Medal,1,KING Lilly,United States,USA,United States,Swimming,Women's 4 x 100m Medley Relay,1997-02-10,1935932
Gold Medal,1,SMITH Regan,United States,USA,United States,Swimming,Women's 4 x 100m Medley Relay,2002-02-09,1935984
Gold Medal,1,WALSH Gretchen,United States,USA,United States,Swimming,Women's 4 x 100m Medley Relay,2003-01-29,1935998
Silver Medal,2,ANDERSON Iona,Australia,AUS,Australia,Swimming,Women's 4 x 100m Medley Relay,2005-10-03,1946183
Silver Medal,2,RAMSAY Ella,Australia,AUS,Australia,Swimming,Women's 4 x 100m Medley Relay,2004-07-12,1946174
Silver Medal,2,PERKINS Alexandria,Australia,AUS,Australia,Swimming,Women's 4 x 100m Medley Relay,2000-07-27,1946146
Silver Medal,2,HARRIS Meg,Australia,AUS,Australia,Swimming,Women's 4 x 100m Medley Relay,2002-03-07,1946212
Silver Medal,2,McKEON Emma,Australia,AUS,Australia,Swimming,Women's 4 x 100m Medley Relay,1994-05-24,1946177
Silver Medal,2,McKEOWN Kaylee,Australia,AUS,Australia,Swimming,Women's 4 x 100m Medley Relay,2001-07-12,1946198
Silver Medal,2,O'CALLAGHAN Mollie,Australia,AUS,Australia,Swimming,Women's 4 x 100m Medley Relay,2004-04-02,1946218
Silver Medal,2,STRAUCH Jenna,Australia,AUS,Australia,Swimming,Women's 4 x 100m Medley Relay,1997-03-24,1946190
Bronze Medal,3,WANG Xueer,China,CHN,China,Swimming,Women's 4 x 100m Medley Relay,1998-01-15,1945157
Bronze Medal,3,TANG Qianting,China,CHN,China,Swimming,Women's 4 x 100m Medley Relay,2004-03-14,1945200
Bronze Medal,3,YU Yiting,China,CHN,China,Swimming,Women's 4 x 100m Medley Relay,2005-09-05,1945164
Bronze Medal,3,WU Qingfeng,China,CHN,China,Swimming,Women's 4 x 100m Medley Relay,2003-01-28,1945206
Bronze Medal,3,WAN Letian,China,CHN,China,Swimming,Women's 4 x 100m Medley Relay,2004-08-12,1945202
Bronze Medal,3,YANG Junxuan,China,CHN,China,Swimming,Women's 4 x 100m Medley Relay,2002-01-26,1945159
Bronze Medal,3,ZHANG Yufei,China,CHN,China,Swimming,Women's 4 x 100m Medley Relay,1998-04-19,1945125
Gold Medal,1,ERRANI Sara,Italy,ITA,Italy,Tennis,Women's Doubles,1987-04-29,1562409
Gold Medal,1,PAOLINI Jasmine,Italy,ITA,Italy,Tennis,Women's Doubles,1996-01-04,1910330
Silver Medal,2,ANDREEVA Mirra,AIN,AIN,Russian Federation,Tennis,Women's Doubles,2007-04-29,1979734
Silver Medal,2,SHNAIDER Diana,AIN,AIN,Russian Federation,Tennis,Women's Doubles,2004-04-02,1979732
Bronze Medal,3,BUCSA Cristina,Spain,ESP,Spain,Tennis,Women's Doubles,1998-01-01,1563687
Bronze Medal,3,SORRIBES TORMO Sara,Spain,ESP,Spain,Tennis,Women's Doubles,1996-10-08,1563681
Gold Medal,1,SLAGTER Arvin,Netherlands,NED,Netherlands,3x3 Basketball,Men,1985-10-19,1970800
Gold Medal,1,de JONG Worthy,Netherlands,NED,Netherlands,3x3 Basketball,Men,1988-03-14,1970792
Gold Medal,1,van der HORST Dimeo,Netherlands,NED,Netherlands,3x3 Basketball,Men,1991-06-23,1970796
Gold Medal,1,DRIESSEN Jan,Netherlands,NED,Netherlands,3x3 Basketball,Men,1996-12-04,1970797
Silver Medal,2,VERGIAT Timothe,France,FRA,France,3x3 Basketball,Men,1998-03-07,1568595
Silver Medal,2,SEGUELA Franck,France,FRA,France,3x3 Basketball,Men,1997-05-30,1568603
Silver Medal,2,DUSSOULIER Lucas,France,FRA,France,3x3 Basketball,Men,1996-07-27,1568606
Silver Medal,2,RAMBAUT Jules,France,FRA,France,3x3 Basketball,Men,1998-04-06,1568608
Bronze Medal,3,DZIAUGYS Evaldas,Lithuania,LTU,Lithuania,3x3 Basketball,Men,1996-09-26,1943480
Bronze Medal,3,MATULIS Gintautas,Lithuania,LTU,Lithuania,3x3 Basketball,Men,1986-12-06,1943486
Bronze Medal,3,PUKELIS Aurelijus,Lithuania,LTU,Lithuania,3x3 Basketball,Men,1994-05-17,1943471
Bronze Medal,3,VINGELIS Sarunas,Lithuania,LTU,Lithuania,3x3 Basketball,Men,1989-11-16,1943515
Gold Medal,1,BRUNCKHORST Svenja,Germany,GER,Germany,3x3 Basketball,Women,1991-10-19,1898807
Gold Medal,1,GREINACHER Sonja,Germany,GER,Germany,3x3 Basketball,Women,1992-07-01,1898816
Gold Medal,1,REICHERT Marie,Germany,GER,Germany,3x3 Basketball,Women,2001-04-16,1898835
Gold Medal,1,MEVIUS Elisa,Germany,GER,Germany,3x3 Basketball,Women,2004-04-23,1898870
Silver Medal,2,ALONSO Gracia,Spain,ESP,Spain,3x3 Basketball,Women,1992-08-11,1958461
Silver Medal,2,YGUERAVIDE Sandra,Spain,ESP,Spain,3x3 Basketball,Women,1984-12-28,1958573
Silver Medal,2,GIMENO Vega,Spain,ESP,Spain,3x3 Basketball,Women,1991-01-08,1958504
Silver Medal,2,CAMILION Juana,Spain,ESP,Spain,3x3 Basketball,Women,1999-03-22,1958475
Bronze Medal,3,HAMBY Dearica,United States,USA,United States,3x3 Basketball,Women,1993-11-06,1954736
Bronze Medal,3,BURDICK Cierra,United States,USA,United States,3x3 Basketball,Women,1993-09-30,1954768
Bronze Medal,3,van LITH Hailey,United States,USA,United States,3x3 Basketball,Women,2001-09-09,1954785
Bronze Medal,3,HOWARD Rhyne,United States,USA,United States,3x3 Basketball,Women,2000-04-29,1954738
Gold Medal,1,MARCHANT Katy,Great Britain,GBR,Great Britain,Cycling Track,Women's Team Sprint,1993-01-30,1957082
Gold Medal,1,FINUCANE Emma,Great Britain,GBR,Great Britain,Cycling Track,Women's Team Sprint,2002-12-22,1912522
Gold Medal,1,CAPEWELL Sophie,Great Britain,GBR,Great Britain,Cycling Track,Women's Team Sprint,1998-09-04,1912514
Gold Medal,1,THOMAS Lowri,Great Britain,GBR,Great Britain,Cycling Track,Women's Team Sprint,1999-03-03,1912564
Silver Medal,2,ANDREWS Ellesse,New Zealand,NZL,New Zealand,Cycling Track,Women's Team Sprint,1999-12-31,1945040
Silver Medal,2,PETCH Rebecca,New Zealand,NZL,New Zealand,Cycling Track,Women's Team Sprint,1998-07-09,1945068
Silver Medal,2,FULTON Shaane,New Zealand,NZL,New Zealand,Cycling Track,Women's Team Sprint,2000-10-03,1945035
Silver Medal,2,KING Olivia,New Zealand,NZL,New Zealand,Cycling Track,Women's Team Sprint,2001-01-25,1945038
Bronze Medal,3,HINZE Emma,Germany,GER,Germany,Cycling Track,Women's Team Sprint,1997-09-17,1889702
Bronze Medal,3,FRIEDRICH Lea,Germany,GER,Germany,Cycling Track,Women's Team Sprint,2000-01-07,1889704
Bronze Medal,3,GRABOSCH Pauline,Germany,GER,Germany,Cycling Track,Women's Team Sprint,1998-01-14,1889703
Bronze Medal,3,PROEPSTER Alessa,Germany,GER,Germany,Cycling Track,Women's Team Sprint,2001-03-04,1889705
Gold Medal,1,BACOSI Diana,Italy,ITA,Italy,Shooting,Skeet Mixed Team,1983-07-13,1915325
Gold Medal,1,ROSSETTI Gabriele,Italy,ITA,Italy,Shooting,Skeet Mixed Team,1995-03-07,1915333
Silver Medal,2,SMITH Austen Jewell,United States,USA,United States,Shooting,Skeet Mixed Team,2001-07-23,1944397
Silver Medal,2,HANCOCK Vincent,United States,USA,United States,Shooting,Skeet Mixed Team,1989-03-19,1944354
Bronze Medal,3,JIANG Yiting,China,CHN,China,Shooting,Skeet Mixed Team,2004-08-01,1913978
Bronze Medal,3,LYU Jianlin,China,CHN,China,Shooting,Skeet Mixed Team,1996-07-26,1961747
Gold Medal,1,HELLWIG Tim,Germany,GER,Germany,Triathlon,Mixed Relay,1999-06-30,1558780
Gold Medal,1,TERTSCH Lisa,Germany,GER,Germany,Triathlon,Mixed Relay,1998-12-01,1558784
Gold Medal,1,LUEHRS Lasse,Germany,GER,Germany,Triathlon,Mixed Relay,1996-05-16,1558775
Gold Medal,1,LINDEMANN Laura,Germany,GER,Germany,Triathlon,Mixed Relay,1996-06-26,1558773
Silver Medal,2,RIDER Seth,United States,USA,United States,Triathlon,Mixed Relay,1997-03-06,1930750
Silver Medal,2,SPIVEY Taylor,United States,USA,United States,Triathlon,Mixed Relay,1991-04-13,1930752
Silver Medal,2,PEARSON Morgan,United States,USA,United States,Triathlon,Mixed Relay,1993-09-22,1930747
Silver Medal,2,KNIBB Taylor,United States,USA,United States,Triathlon,Mixed Relay,1998-02-14,1930739
Bronze Medal,3,YEE Alex,Great Britain,GBR,Great Britain,Triathlon,Mixed Relay,1998-02-18,1904251
Bronze Medal,3,TAYLOR-BROWN Georgia,Great Britain,GBR,Great Britain,Triathlon,Mixed Relay,1994-03-15,1904248
Bronze Medal,3,DICKINSON Samuel,Great Britain,GBR,Great Britain,Triathlon,Mixed Relay,1997-07-11,1904232
Bronze Medal,3,POTTER Beth,Great Britain,GBR,Great Britain,Triathlon,Mixed Relay,1991-12-27,1904244
Gold Medal,1,van den BERG Roy,Netherlands,NED,Netherlands,Cycling Track,Men's Team Sprint,1988-09-08,1969218
Gold Medal,1,LAVREYSEN Harrie,Netherlands,NED,Netherlands,Cycling Track,Men's Team Sprint,1997-03-14,1969182
Gold Medal,1,HOOGLAND Jeffrey,Netherlands,NED,Netherlands,Cycling Track,Men's Team Sprint,1993-03-16,1969203
Gold Medal,1,van LOON Tijmen,Netherlands,NED,Netherlands,Cycling Track,Men's Team Sprint,2001-03-20,1969204
Silver Medal,2,CARLIN Jack,Great Britain,GBR,Great Britain,Cycling Track,Men's Team Sprint,1997-04-23,1912515
Silver Medal,2,TURNBULL Hamish,Great Britain,GBR,Great Britain,Cycling Track,Men's Team Sprint,1999-07-13,1912568
Silver Medal,2,LOWE Ed,Great Britain,GBR,Great Britain,Cycling Track,Men's Team Sprint,2003-08-24,1912536
Silver Medal,2,TRUMAN Joseph,Great Britain,GBR,Great Britain,Cycling Track,Men's Team Sprint,1997-02-14,1912567
Bronze Medal,3,GLAETZER Matthew,Australia,AUS,Australia,Cycling Track,Men's Team Sprint,1992-08-24,1940262
Bronze Medal,3,RICHARDSON Matthew,Australia,AUS,Australia,Cycling Track,Men's Team Sprint,1999-04-17,1940263
Bronze Medal,3,HOFFMAN Leigh,Australia,AUS,Australia,Cycling Track,Men's Team Sprint,2000-06-11,1940260
Bronze Medal,3,CORNISH Thomas,Australia,AUS,Australia,Cycling Track,Men's Team Sprint,2000-02-15,1940267
Gold Medal,1,CHANG Hao,China,CHN,China,Artistic Swimming,Team,1997-04-28,1908847
Gold Medal,1,FENG Yu,China,CHN,China,Artistic Swimming,Team,1999-09-30,1908846
Gold Medal,1,WANG Qianyi,China,CHN,China,Artistic Swimming,Team,1997-01-16,1908853
Gold Medal,1,WANG Ciyue,China,CHN,China,Artistic Swimming,Team,1999-11-14,1908850
Gold Medal,1,WANG Liuyi,China,CHN,China,Artistic Swimming,Team,1997-01-16,1908852
Gold Medal,1,XIANG Binxuan,China,CHN,China,Artistic Swimming,Team,2001-11-16,1908855
Gold Medal,1,XIAO Yanning,China,CHN,China,Artistic Swimming,Team,1998-02-23,1908854
Gold Medal,1,ZHANG Yayi,China,CHN,China,Artistic Swimming,Team,1997-05-06,1908851
Gold Medal,1,CHENG Wentao,China,CHN,China,Artistic Swimming,Team,1998-05-18,1908848
Silver Medal,2,ALVAREZ Anita,United States,USA,United States,Artistic Swimming,Team,1996-12-02,1943038
Silver Medal,2,CZARKOWSKI Jaime,United States,USA,United States,Artistic Swimming,Team,2003-12-05,1943040
Silver Medal,2,FIELD Megumi,United States,USA,United States,Artistic Swimming,Team,2005-10-15,1943042
Silver Medal,2,HUNTER Keana,United States,USA,United States,Artistic Swimming,Team,2004-03-04,1943043
Silver Medal,2,KWON Audrey,United States,USA,United States,Artistic Swimming,Team,2006-06-16,1943044
Silver Medal,2,LUU Jacklyn,United States,USA,United States,Artistic Swimming,Team,1999-04-30,1943046
Silver Medal,2,RAMIREZ Daniella,United States,USA,United States,Artistic Swimming,Team,2001-10-06,1943048
Silver Medal,2,REMATI Ruby,United States,USA,United States,Artistic Swimming,Team,2002-08-14,1943049
Silver Medal,2,LIU Calista,United States,USA,United States,Artistic Swimming,Team,2005-12-18,1943045
Bronze Medal,3,TIO CASAS Iris,Spain,ESP,Spain,Artistic Swimming,Team,2002-11-02,1954818
Bronze Medal,3,OZHOGINA OZHOGIN Alisa,Spain,ESP,Spain,Artistic Swimming,Team,2000-10-31,1954815
Bronze Medal,3,MAS PUJADAS Meritxell,Spain,ESP,Spain,Artistic Swimming,Team,1994-12-25,1954814
Bronze Medal,3,TOLEDANO LAUT Blanca,Spain,ESP,Spain,Artistic Swimming,Team,2000-11-03,1954819
Bronze Medal,3,RAMIREZ IBANEZ Paula,Spain,ESP,Spain,Artistic Swimming,Team,1996-04-23,1954816
Bronze Medal,3,LLUIS VALETTE Lilou,Spain,ESP,Spain,Artistic Swimming,Team,2006-07-28,1954813
Bronze Medal,3,GARCIA POLO Marina,Spain,ESP,Spain,Artistic Swimming,Team,2004-12-05,1954811
Bronze Medal,3,FERRE GASET Txell,Spain,ESP,Spain,Artistic Swimming,Team,2006-11-10,1954809
Bronze Medal,3,SALDANA LOPEZ Sara,Spain,ESP,Spain,Artistic Swimming,Team,2000-07-25,1954817
Gold Medal,1,MARTIN Alvaro,Spain,ESP,Spain,Athletics,Marathon Race Walk Relay Mixed,1994-06-18,1904165
Gold Medal,1,PEREZ Maria,Spain,ESP,Spain,Athletics,Marathon Race Walk Relay Mixed,1996-04-29,1905369
Silver Medal,2,PINTADO Brian Daniel,Ecuador,ECU,Ecuador,Athletics,Marathon Race Walk Relay Mixed,1995-07-29,1929767
Silver Medal,2,MOREJON Glenda,Ecuador,ECU,Ecuador,Athletics,Marathon Race Walk Relay Mixed,2000-05-30,1930407
Bronze Medal,3,COWLEY Rhydian,Australia,AUS,Australia,Athletics,Marathon Race Walk Relay Mixed,1991-01-04,1939848
Bronze Medal,3,MONTAG Jemima,Australia,AUS,Australia,Athletics,Marathon Race Walk Relay Mixed,1998-02-15,1939791
Gold Medal,1,BLEDDYN Oliver,Australia,AUS,Australia,Cycling Track,Men's Team Pursuit,2002-01-27,1940264
Gold Medal,1,O'BRIEN Kelland,Australia,AUS,Australia,Cycling Track,Men's Team Pursuit,1998-05-22,1940258
Gold Medal,1,WELSFORD Sam,Australia,AUS,Australia,Cycling Track,Men's Team Pursuit,1996-01-19,1940265
Gold Medal,1,LEAHY Conor,Australia,AUS,Australia,Cycling Track,Men's Team Pursuit,1999-04-16,1940253
Gold Medal,1,MORIARTY James,Australia,AUS,Australia,Cycling Track,Men's Team Pursuit,2001-06-07,1940256
Silver Medal,2,VERNON Ethan,Great Britain,GBR,Great Britain,Cycling Track,Men's Team Pursuit,2000-08-26,1912571
Silver Medal,2,WOOD Oliver,Great Britain,GBR,Great Britain,Cycling Track,Men's Team Pursuit,1995-11-26,1912575
Silver Medal,2,BIGHAM Daniel,Great Britain,GBR,Great Britain,Cycling Track,Men's Team Pursuit,1991-10-02,1912510
Silver Medal,2,TANFIELD Charlie,Great Britain,GBR,Great Britain,Cycling Track,Men's Team Pursuit,1996-11-17,1912560
Silver Medal,2,HAYTER Ethan,Great Britain,GBR,Great Britain,Cycling Track,Men's Team Pursuit,1998-09-18,1957081
Silver Medal,2,STEWART Mark,Great Britain,GBR,Great Britain,Cycling Track,Men's Team Pursuit,1995-08-25,1912557
